,SalePrice
376,148000
26,134800
1354,235000
345,140200
1235,138887
1135,102000
809,106000
469,187000
724,320000
175,243000
243,120000
248,180000
472,148000
1172,171900
1435,174000
399,241000
371,134432
507,208300
352,95000
855,127000
1083,160000
277,141000
1069,135000
1269,144000
447,199900
142,166000
435,212000
622,135000
102,118964
856,147000
1392,123000
1416,122500
1037,287000
1418,124000
945,124900
1176,119500
448,119500
34,277500
184,127000
1387,136000
987,395192
755,172500
774,395000
1204,153500
1061,81000
107,115000
1101,119500
242,79000
934,242000
1232,101800
1139,144000
1385,125500
1145,149000
1408,125500
943,143000
1188,195000
218,311500
1459,147500
1000,82000
566,325000
589,79500
950,129000
604,221000
808,159950
999,206000
28,207500
269,148000
1184,186700
1198,178000
598,217500
1226,214000
648,155000
586,130000
1422,136500
174,184000
1345,108500
539,272000
1109,280000
1107,274725
1400,120000
72,185000
1454,185000
933,190000
601,141000
551,112500
1433,186500
775,162000
249,277000
938,239799
1384,105000
966,160000
1230,190000
1164,194000
906,255000
1141,197500
193,130000
1309,179200
101,178000
14,157000
324,242000
73,144900
1370,105000
617,105500
745,299800
1434,160000
274,124500
752,217000
146,105000
57,196500
1341,155000
1136,119000
1394,246578
1244,230000
1344,155835
523,184750
1058,335000
914,173733
674,140000
849,187000
291,135900
1451,287090
593,140000
703,140000
591,451950
881,187500
1369,232000
251,235000
135,174000
533,39300
1320,156500
119,163990
483,164000
1356,110000
929,222000
1193,165000
1033,230000
1436,120500
214,161750
118,320000
1029,118000
405,150000
748,260400
266,185000
926,285000
1221,134000
433,181000
723,135000
1287,190000
1288,278000
854,170000
114,259500
925,175000
1167,173000
203,149000
758,179400
660,197900
216,210000
1246,186500
1279,68400
312,119900
729,103000
394,109000
802,189000
1339,128500
1151,149900
241,110500
645,143250
877,350000
188,153337
569,135960
460,263435
508,161000
1425,142000
506,215000
254,145000
512,129900
301,267000
891,172500
908,131000
1380,58500
1156,179900
944,137500
285,164700
88,85000
1234,130000
183,200000
1368,144000
17,90000
980,178400
233,128200
871,200500
1326,79000
1366,193000
326,324000
252,173000
244,205000
1026,167500
570,142600
567,214000
1122,112000
1322,190000
347,157500
136,143000
1082,192000
1304,130000
1352,134900
976,85500
612,261500
1077,138800
780,176000
1286,143000
1081,133000
924,207500
16,149000
125,84500
1361,260000
208,277000
637,93000
1153,120500
223,97000
1274,139000
465,178740
92,163500
160,162500
313,375000
1150,124000
669,137500
688,392000
365,147000
402,108000
864,250580
100,205000
86,174000
389,426000
161,412500
1258,190000
417,239000
300,157000
580,181900
963,239000
1413,257000
1205,271900
863,132500
796,143500
368,132000
388,191000
398,67000
240,262500
984,126000
1260,181000
1263,180500
907,250000
55,180500
74,107400
574,139000
829,147400
1031,197000
585,369900
1142,424870
396,123000
519,234000
810,181000
741,142000
998,91000
1342,228500
1283,139000
1020,176000
1148,116900
1360,189000
1094,129000
664,423000
333,207000
1163,108959
1308,147000
685,207500
164,152000
699,196000
912,88000
68,80000
1219,91500
552,255500
1453,84500
429,175000
1249,119000
1160,146000
628,135000
1024,287000
1302,290000
803,582933
821,93000
704,213000
395,129000
1312,302000
275,205000
1019,213490
349,437154
437,119000
1098,128000
13,279500
1048,115000
599,151000
1220,115000
1119,133700
5,143000
140,115000
1215,125000
967,135000
150,122000
911,143500
1038,97000
1171,163000
1206,107000
281,185000
58,438780
1106,179900
211,186000
441,118000
1414,207000
1161,224000
661,402000
262,151000
760,127500
79,110000
785,161500
350,318061
577,164500
759,290000
1014,119200
404,168000
263,130000
29,68500
1089,197000
1431,143750
615,137500
3,140000
1049,84900
141,260000
54,130000
209,145000
1047,145000
1450,136000
822,225000
546,210000
1079,126000
51,114500
1169,625000
442,162900
750,96500
445,127500
708,179540
535,107500
787,233000
286,159000
919,176500
205,180500
930,201000
1271,185750
823,139500
321,354000
851,215000
220,204900
588,143000
1091,160000
381,187750
939,244400
625,160000
700,312500
972,99500
330,119000
1113,134500
173,163000
901,153000
1401,193000
647,155000
709,109900
1066,178000
1428,119000
1022,87000
818,155000
1030,160000
171,215000
386,81000
232,94500
1118,140000
942,150000
978,110000
1316,295493
1447,240000
247,140000
1112,129900
644,370878
1080,145000
909,174000
194,127000
691,755000
377,340000
888,268000
418,126000
202,112000
482,155000
816,137000
322,301000
884,100000
1224,184000
379,179000
1088,137500
64,219500
1423,274970
1398,138000
199,274900
409,339750
882,178000
387,125000
1143,80000
468,250000
1253,294000
563,185000
1419,223000
1259,151000
306,225000
1128,215000
91,98600
1202,117000
654,350000
1166,245350
278,415298
71,129500
1292,107500
253,158000
476,208900
1070,135000
37,153000
311,132000
651,108000
702,361919
528,86000
1256,301500
235,89500
1334,125000
918,238000
679,128500
366,159000
42,144000
149,115000
1095,176432
611,148000
1133,239500
1383,112000
1343,177000
1332,100000
393,100000
1013,85000
434,81000
1181,392500
454,188000
1102,135000
665,230500
200,140000
917,135000
280,228500
295,142500
47,249700
793,225000
53,385000
1374,250000
869,236000
895,140000
1072,91500
56,172500
156,109500
646,98300
1011,100000
557,108000
547,129500
1157,230000
363,118000
1137,94000
1251,171750
340,202900
293,235000
794,194500
1233,142000
1240,224900
859,250000
112,383970
1073,159500
481,374000
1003,136905
1012,165000
1238,142500
1276,162000
84,168500
1272,137000
1325,55000
351,190000
852,164000
